,word,word_root,polarity
256,간섭하거나,간섭,1
257,간섭하거나 방해하여,간섭 방해,1
258,간섭하고,간섭,1
259,간섭하다,간섭,1
260,간섭하여,간섭,1
261,간신히 짜내는,간신히 짜내,1
262,간절하다,간절,0
263,간지러워서,간지럽,1
264,간지럽게,간지럽,1
265,간지럽고,간지럽,1
266,간지럽고 자릿한,간지럽 자릿,1
267,간직하다,간직,0
268,간직하지 아니하고,간직 아니하,1
269,간질,간질,1
270,간질간질하다,간질간질,1
271,간질간질한,간질,1
272,간질간질한 느낌,간질 느낌,1
273,간편하거나,간편,0
274,간편하다,간편,0
275,갈강병균이,갈강병,1
276,갈등,갈등,1
277,갈라서다,가르,1
278,갈라지는 피부병,갈라지 피부병,1
279,갈색굳음병,갈색,1
280,갈증이 나고,갈증 나,1
281,갈증이 심하게,갈증 심하,1
282,갈팡질팡,갈팡질팡,1
283,갈팡질팡하다,갈팡질팡,1
284,갈팡질팡하며,갈팡질팡,1
285,갈피를 잡을 수 없다,갈피 잡 수 없,1
286,갈피를 잡지 못하고,갈피 잡지 못하,1
287,갈피를 잡지 못하고 이리저리 헤매는 모양,갈피 잡지 못하 이리저리 헤매 모양,1
288,갈피를 잡지 못하는,갈피 잡지 못하,1
289,갈피를 잡지 못하다,갈피 잡지 못하,1
290,감각이 둔하고,감각 둔하,1
291,감각이 마비되고,감각 마비,1
292,감각적이다,감각적,0
293,감감히,감감,1
294,감개무량하다,감개,0
295,감격,감격,0
296,감격성,감격성,0
297,감격스럽다,감격,0
298,감격스레,감격,0
299,감격이,감격,0
300,감격적,감격적,0
301,감격하다,감격,0
302,감격하여,감격,0
303,감금하여,감금,1
304,감기,감기,1
305,감기가,감기,1
306,감기가 들어,감기 듣,1
307,감기나,감기,1
308,감기나 천식,감기 천식,1
309,감기로,감기,1
310,감기로 인하여,감기 인하,1
311,감당하다,감당,0
312,감동,감동,0
313,감동시킬,감동,0
314,감동시킬 만한,감동 만하,0
315,감동을 받아,감동 받,0
316,감동을 일으킬,감동 일으키,0
317,감동을 주거나,감동 주거,0
318,감동이,감동,0
319,감동이 되는,감동 되,0
320,감동이나,감동,0
321,감동이나 고마움을,감동 고마움,0
322,감동하는,감동,0
323,감동하다,감동,0
324,감동하여,감동,0
325,감동함,감동,0
326,감명되다,감명,0
327,감명적,감명,0
328,감명하다,감명,0
329,감모,감모,0
330,감미롭다,감미롭,0
331,감병,감병,1
332,감복하다,감복,0
333,감복하여,감복,0
334,감사,감사,0
335,감사를 표하다,감사 표하,0
336,감사하는,감사,0
337,감사하는 마음으로,감사 마음,0
338,감사하다,감사,0
339,감싸고,감싸,0
340,감싸고 달래다,감싸 달래,-1
341,감옥,감옥,1
342,감옥에,감옥,1
343,감정 사납게,감정 사납,1
344,감정을 건드려,감정 건드리,1
345,감정의 불화,감정 불화,1
346,감정이 거칠어져,감정 거칠어지,1
347,감정이 북받쳐,감정 북받치,0
348,감칠맛이 있을,감칠맛 있,0
349,감탄,감탄,0
350,감탄스러울,감탄,0
351,감탄스러울 때,감탄 때,0
352,감탄스럽다,감탄,0
353,감탄적으로,감탄,0
354,감탄하다,감탄,0
355,감탄할,감탄,0
356,감탄할 때,감탄 때,0
357,감회가 새롭거나,감회 새롭,0
358,감회에 젖음,감회 젖,0
359,갑갑궁금하다,갑갑궁금하,1
360,갑갑하고 궁금하다,갑갑 궁금,1
361,갑갑하다,갑갑,1
362,갑갑한,갑갑,1
363,갑갑한 증상,갑갑 증상,1
364,갑갑할,갑갑,1
365,갑갑할 정도로,갑갑 정도,1
366,갑분띠,갑,1
367,갑분싸,갑,1
368,갑자기 게우는,갑자기 게우,1
369,갑자기 놀라거나,갑자기 놀라,1
370,갑자기 놀라서,갑자기 놀라,1
371,갑자기 무섭거나,갑자기 무섭,1
372,갑자기 분별없이,갑자기 분별,1
373,갑자기 서늘한,갑자기 서늘,1
374,갑자기 서늘한서늘한 느낌이,갑자기 서늘 느낌,1
375,갑자기 성을,갑자기 성,1
376,갑자기 소란스럽게,갑자기 소란,1
377,갑자기 소름이,갑자기 소름,1
378,갑자기 어지러워,갑자기 어지럽,1
379,갑작스러워 두렵거나,갑작스럽 두렵,1
380,갑작스럽게 화를,갑작스럽 화,1
381,값을 매길 수 없을 만큼,값 매기 수 없 만큼,0
382,값진,값지,0
383,강간죄,강간죄,1
384,강개무량,강개,1
385,강개무량하다,강개,1
386,강구하다,강구,-1
387,강도가,강도,1
388,강등하여,강,1
389,강렬하게,강렬,0
390,강박,강박,1
391,강박하여,강박,1
392,강세,강세,0
393,강인하다,강인,0
394,강인한,강인,0
395,강제로,강제,1
396,강제로 누르는,강제 누르,1
397,강제로 누르다,강제 누르,1
398,강제로 누름,강제 누르,1
399,강제로 빼앗는,강제 빼앗,1
400,강제로 빼앗다,강제 빼앗,1
401,강제로 빼앗아,강제 빼앗,1
402,강제로 빼앗음,강제 빼앗,1
403,강제로 요구하다,강제 요구,1
404,강제적으로,강제적,1
405,강추,강추,0
406,강탈,강탈,1
407,강탈하다,강탈,1
408,강퇴,강,1
409,강하게,강하,0
410,강하게 만들다,강하 만들,0
411,강하게 하다,강하 하다,0
412,강하고,강하,0
413,강하고 야무지게,강하 야무지,0
414,강하고 야무지다,강하 야무지,0
415,강하고 튼튼하게,강하 튼튼,0
416,강하다,강하,0
417,강한 비판이나,강 비판,1
418,강한 충격을,강 충격,1
419,강화하다,강화,0
420,갖지 아니하게,갖 아니하,1
421,갖추다,갖추,0
422,갖추지 못한,갖추 못하,1
423,같잖다,같잖,1
424,같잖아서,같잖,1
425,같잖아서 우스운,같잖 우습,1
426,같잖은,같잖,1
427,같잖은 꼴로,같잖 꼴,1
428,갚지 않다,갚 않,1
429,개가 무섭거나,개가 무섭,1
430,개가 아프거나,개가 아프,1
431,개선,개선,0
432,개선 방도를,개선 방도,0
433,개선하고,개선,0
434,개선하다,개선,0
435,개선함,개선,0
436,개성,개성,0
437,개성있는,개성,0
438,개성있다,개성,0
439,개운치 않거나,개운 않,1
440,개운하게,개운,0
441,개운하고,개운,0
442,개운하고 시원한,개운 시원,0
443,개운하고 홀가분해지다,개운 홀가분,0
444,개운하다,개운,0
445,개운하지 않고,개운 않,1
446,개으름을,개으름,1
447,개이득,개,0
448,개짓하다,개짓하,1
449,개회하다,개회,-1
450,갠소,개,0
451,갸륵한,갸륵,0
452,갸륵한 데가,갸륵 데,0
453,갸름하다,갸름,0
454,거꾸러뜨리다,거꾸러뜨리,1
455,거꾸로 넘어지거나,거꾸로 넘어지,1
456,거두지 못한,거두 못하,1
457,거드럭거드럭,거드럭거드럭,1
458,거드럭거리다,거드럭거리,1
459,거들먹거들먹,거,1
460,거들먹거들먹하다,거,1
461,거들먹거리다,거들먹거리,1
462,거들먹대다,거들먹대,1
463,거들먹이다,거들먹이,1
464,거듭 따뜻이,거들 따뜻이,0
465,거듭 죄를,거들 죄,1
466,거뜬하다,거뜬,0
467,거래가 금지된,거래 금지,1
468,거룩한,거룩,0
469,거룩한 모습,거룩 모습,0
470,거룩한 사람,거룩 사람,0
471,거리끼어,거리끼,1
472,거리낌 없이,거리낌 없이,0
473,거만스럽게,거만,1
474,거만을,거만,1
475,거만을 떠는,거만 떨,1
476,거만을 떨다,거만 떨,1
477,거만하게,거만,1
478,거만하게 행동하는,거만 행동,1
479,거만하게 행동하다,거만 행동,1
480,거만하고,거만,1
481,거만하다,거만,1
482,거만한,거만,1
483,거만한 태도로,거만 태도,1
484,거무스름한 피고름이,거무스름 피고름,1
485,거볍게 까부는,거볍 까불,1
486,거볍게 성을,거볍 성,1
487,거볍게 채신없이,거볍 채신,1
488,거볍게 행동하거나,거볍 행동,1
489,거볍게 행동하는,거볍 행동,1
490,거볍게 행동하다,거볍 행동,1
491,거볍고 온화하게,거볍 온화,0
492,거부감,거부감,1
493,거부감 없이,거부감 없이,0
494,거부하거나,거부,1
495,거부하다,거부,1
496,거북스럽게,거북,1
497,거북스럽게 저는,거북 저,1
498,거북스럽게 절다,거북 절,1
499,거북하거나,거북,1
500,거북하거나 괴로움,거북 괴로움,1
501,거북하거나 괴롭다,거북 괴롭,1
502,거북하거나 더럽고,거북 더럽,1
503,거북하게,거북,1
504,거북하고,거북,1
505,거북하고 불편한,거북 불편,1
506,거북하고 주체스럽게,거북 주체,1
507,거북하다,거북,1
508,거북한,거북,1
509,거북한 모양,거북 모양,1
510,거북한 상태로,거북 상태,1
511,거북한 소리가,거북 소리,1
512,거북할,거북,1
513,거북할 만큼,거북 만큼,1
514,거세고,거세,1
515,거세고 급하다,거세 급하,1
516,거슬려,거슬리,1
517,거슬려 불쾌하다,거슬리 불쾌,1
518,거슬리거나,거슬리,1
519,거슬리거나 마음이,거슬리 마음,1
520,거슬리게,거슬리,1
521,거슬리게 싫다,거슬리 싫,1
522,거슬리는,거슬리,1
523,거슬리는 느낌이,거슬리 느낌,1
524,거슬리다,거슬리,1
525,거슬림이 없이,거슬리 없이,0
526,거역하다,거역,1
527,거역함,거역,1
528,거의 없다,거의 없,1
529,거절하거나,거절,1
530,거절하거나 싫다는,거절 싫,1
531,거절하다,거절,1
532,거짓,거짓,1
533,거짓 없다,거짓 없,0
534,거짓말,거짓말,1
535,거짓말을,거짓말,1
536,거짓없다,거짓,0
537,거짓으로,거짓,1
538,거짓으로 감정이나,거짓 감정,1
539,거짓으로 꾸며서,거짓 꾸미,1
540,거짓으로 꾸미는,거짓 꾸미,1
541,거짓으로 꾸미다,거짓 꾸미,1
542,거짓으로 꾸민,거짓 꾸미,1
543,거짓으로 속이다,거짓 속이,1
544,거짓으로 속임,거짓 속이,1
545,거짓을 버리고,거짓 버리,0
546,거짓이 없고,거짓 없,0
547,거짓이 없다,거짓 없,0
548,거짓이 없이,거짓 없이,0
549,거짓이나,거짓,1
550,거추장스러워서,그,1
551,거추장스러워서 거슬리거나,그 거슬리,1
552,거추장스럽거나,거추장스럽,1
553,거추장스럽거나 성가시어,거추장스럽 성가시,1
554,거추장스럽게,거추장스럽,1
555,거추장스럽게 걸리거나,거추장스럽 걸리,1
556,거추장스럽다,거추장스럽,1
557,거추장스레,그,1
558,거치적거리는,거치적거리,1
559,거치적거리는 소리,거치적거리 소리,1
560,거치적거치적,거치적,1
561,거치적거치적하다,거치적,1
562,거친,거치,1
563,거친 데가,거치 데,1
564,거친 말로,거치 말로,1
565,거친 모양,거치 모양,1
566,거친 목소리로,거치 목소리,1
567,거친 성질이나,거치 성질,1
568,거친 소리가,거치 소리,1
569,거칠거나 사납게,거치 사납,1
570,거칠게,거치,1
571,거칠게 나는,거치 나,1
572,거칠게 된,거치 되,1
573,거칠게 말다툼하다,거치 말다툼,1
574,거칠게 말함,거치 말하,1
575,거칠게 몰아쉬는,거치 몰아쉬,1
576,거칠게 몰아쉬다,거치 몰아쉬,1
577,거칠게 소리가,거치 소리,1
578,거칠게 쉬는,거치 쉬,1
579,거칠게 울려,거치 울리,1
580,거칠게 일다,거치 일,1
581,거칠게 잇따라,거치 잇따르,1
582,거칠게 행동하는,거치 행동,1
583,거칠게 행동하다,거치 행동,1
584,거칠고,거칠,1
585,거칠고 가쁘게,거칠 가쁘,1
586,거칠고 격한,거칠 격,1
587,거칠고 깔끄럽게,거칠 깔끄럽,1
588,거칠고 껄끄럽게,거칠 껄끄럽,1
589,거칠고 나쁘다,거칠 나쁘,1
590,거칠고 무뚝뚝하다,거칠 무뚝뚝,1
591,거칠고 사나우며,거칠 사납,1
592,거칠고 세차다,거칠 세차,1
593,거칠고 심하다,거칠 심하,1
594,거칠고 험하게,거칠 험하,1
595,거칠고 험한,거칠 험하,1
596,거칠다,거칠,1
597,거칠면서,거칠,1
598,거칠면서 가쁘고,거칠 가쁘,1
599,거칠어져,거칠어지,1
600,거침새가 없고,거침새 없,0
601,거침없이,거침없이,0
602,거침이 없는,거치 없,0
603,걱정,걱정,1
604,걱정 같은,걱정 같,1
605,걱정 따위로,걱정 따위,1
606,걱정 없이,걱정 없이,0
607,걱정거리,걱정거리,1
608,걱정과,걱정,1
609,걱정과 근심,걱정 근심,1
610,걱정되거나,걱정,1
611,걱정스러워서,걱정,1
612,걱정스럽거나,걱정,1
613,걱정스럽거나 조바심이,걱정 조바심,1
614,걱정스럽다,걱정,1
615,걱정으로,걱정,1
616,걱정을,걱정,1
617,걱정이,걱정,1
618,걱정이 되거나,걱정 되,1
619,걱정이 되는,걱정 되,1
620,걱정이 되어,걱정 되,1
621,걱정이 없고,걱정 없,0
622,걱정이 없는,걱정 없,0
623,걱정이나,걱정,1
624,걱정이나 근심,걱정 근심,1
625,걱정이나 근심에,걱정 근심,1
626,걱정이나 언짢은,걱정 언짢,1
627,걱정인 해를,걱정 해,1
628,걱정하기는,걱정,1
629,걱정하기는 하나,걱정 하나,1
630,걱정하는,걱정,1
631,걱정하는 게,걱정 게,1
632,걱정하다,걱정,1
633,건강에 긍정적인,건강 긍정적,0
634,건강에 좋은,건강 좋,0
635,건강에 해로운,건강 해롭,1
636,건강하고,건강,0
637,건강하고 온전하다,건강 온전,0
638,건강하고 온전한,건강 온전,0
639,건강하다,건강,0
640,건강하여,건강,0
641,건강하여 아름다운,건강 아름답,0
642,건강하지 못하다,건강 못하,1
643,건강한,건강,0
644,건달처럼,건달,1
645,건둥건둥,건둥건둥,0
646,건둥건둥하다,건둥건둥,0
647,건둥반둥하다,건둥반둥하,1
648,건드려 귀찮게,건드리 귀찮,1
649,건들거리고,건들거리,1
650,건들거리고 벙글거리며,건들거리 벙글거리,1
651,건들건들,건들건들,1
652,건들건들 지내다,건들건들 지내,1
653,건들대다,건들대,1
654,건망증이,건망증,1
655,건망증이 심하며,건망증 심,1
656,건방져,건방지,1
657,건방지게,건방지,1
658,건방지게 행동하다,건방지 행동,1
659,건방지네,건방지,1
660,건방지다,건방지,1
661,건방지며,건방지,1
662,건방진,건방지,1
663,건방짐,건방,1
664,건성 기침,건성 기침,1
665,건성으로,건성,1
666,건성으로 묻다,건성 묻,1
667,건장하다,건장,0
668,건장한,건장,0
669,건장한 모양,건장 모양,0
670,건전하고,건전,0
671,건전하고 착실한,건전 착실,0
672,건전하지 못하고,건전 못하,1
673,건전하지 못한,건전 못하,1
674,건전하지 아니하게,건전 아니하,1
675,건전한,건전,0
676,건전함,건전,0
677,건정히,것,0
678,걷지 못하고,걷 못하,1
679,걷지 못하는,걷 못하,1
680,걸리거나,걸리,1
681,걸리거나 막히는,걸리 막히,1
682,걸리다,걸리,1
683,걸리적대다,걸리적대,1
684,걸핏하면,걸핏하면,1
685,검사에 불합격한,검사 불합격,1
686,검소하다,검소,0
687,검소한,검소,0
688,검은 티끌이라는,검 티끌,1
689,검질기게 구는,검질기 굴,1
690,검질기게 굴다,검질기 굴,1
691,겁,겁,1
692,겁나게,겁나,1
693,겁나게 하기,겁나 하,1
694,겁나다,겁나,1
695,겁내다,겁내,1
696,겁에,겁,1
697,겁에 지리다,겁 지,1
698,겁에 질려,겁 질리,1
699,겁에 질려서,겁 질리,1
700,겁에 질리거나,겁 질리,1
701,겁을,겁,1
702,겁을 내거나,겁 내,1
703,겁을 내다,겁 내달,1
704,겁을 먹거나,겁 먹,1
705,겁을 먹어,겁 먹,1
706,겁을 주며,겁 주,1
707,겁이 나거나,겁 나,1
708,겁이 나서,겁 나서,1
709,겁이 많고,겁 많,1
710,겁이 많다,겁 많,1
711,겁이 많아,겁 많,1
712,겁이 많은,겁 많,1
713,겁이 많음,겁 많,1
714,겁자기 부서지거나,겁 부서지,1
715,겁쟁이,겁쟁이,1
716,것같이 아프다,것 아프,1
717,것보다 낫다,것 낫,0
718,것을 샘하여,것 샘,1
719,것을 짓밟다,것 짓밟,1
720,것이 거북하거나,것 거북,1
721,것이 깨끗하고,것 깨끗하,0
722,것이 해결되어,것 해결,0
723,겉만 그럴듯한,겉 그럴듯하,1
724,겉면이 매끄럽고,겉면 매끄럽,0
725,겉모양의 아름다움과,겉모양 아름다움,0
726,겉치레,겉치레,1
727,게걸스럽게,게걸,1
728,게걸스럽게 돌아다니는,게걸 돌아다니,1
729,게걸스럽게 돌아다니다,게걸 돌아다니,1
730,게우는,게우,1
731,게우는 소리,게우 소리,1
732,게우는 소리가,게우 소리,1
733,게울,것,1
734,게울 듯이,것 듯이,1
735,게워,게우,1
736,게워 내는,게우 내,1
737,게워 내다,게우 내달,1
738,게으르거나,게으르,1
739,게으르게,게으르,1
740,게으르게 놀며,게으르 놀,1
741,게으르게 행동하는,게으르 행동,1
742,게으르게 행동하다,게으르 행동,1
743,게으르고,게으르,1
744,게으르다,게으르,1
745,게으름,게으름,1
746,게으름을,게으름,1
747,게으름을 피우며,게으름 피우,1
748,게으름이,게으름,1
749,게으름이 나는,게으름 나,1
750,게으름이나,게으름,1
751,게으름이나 싫증,게으름 싫증,1
752,게을러빠지다,게을러빠지,1
753,게을러터지다,게을러터지,1
754,게을리하지 않고,게을리 않,0
755,겐트위한,겐트,1
756,겨를이 없음,겨를 없,1
757,겨우 빠듯하게,겹 빠듯,1
758,겨우겨우,겨우겨우,1
759,겨우겨우 살기를,겨우겨우 살기,1
760,겨운,겹,1
761,겨운 일에,겹 일,1
762,격노,격노,1
763,격노하다,격노,1
764,격동시키다,격동,-1
765,격려되다,격려,0
766,격려하다,격려,0
767,격분,격분,1
768,격분하다,격분,1
769,격식에 맞아,격식 맞,0
770,격식을 갖추지 않고,격식 갖추 않,1
771,격에 어울리지,격 어울리,1
772,격하게,격하,1
773,격하게 되다,격하 되,1
774,격하다,격하,-1
775,격하시키다,격하,1
776,격한,격,1
777,격한 감정이,격 감정,1
778,격한 기운이,격 기운,1
779,격한 느낌이,격 느낌,1
780,겪거나 불쌍한,겪 불쌍,1
781,견고하다,견고,0
782,견디기 어렵게,견디 어렵,1
783,견디기가 어려울,견디기 어렵,1
784,견디어 내다,견디 내달,0
785,견딜 수 없는,견디 수 없,1
786,견줄 수 없을 정도로,견주 수 없 정도,0
787,결기가,결기,1
788,결기가 나다,결기 나,1
789,결단성 없다,결단성 없,1
790,결단성 없이,결단성 없이,1
791,결단성이 없고,결단성 없,1
792,결단성이 없다,결단성 없,1
793,결단을 못 내리는,결단 못 내리,1
794,결딴날,결딴나,1
795,결딴날 듯이,결딴나 듯이,1
796,결막염,결막염,1
797,결석,결석,1
798,결석하다,결석,1
799,결심 없이,결심 없이,1
800,결점,결점,1
801,결점이 없도록,결점 없,0
802,결정을 못하고,결정 못하,1
803,결정하지 못하고,결정 못하,1
804,결정하지 못하는,결정 못하,1
805,결정하지 못하다,결정 못하,1
806,결정하지 못함,결정 못하,1
807,결핍,결핍,1
808,결핍증,결핍증,1
809,결함,결함,1
810,결함을,결함,1
811,결함을 드러내어,결함 드,1
812,결함을 들추어,결함 들추,1
813,결함을 풍자하였다,결함 풍자,1
814,결함이 없이,결함 없이,0
815,결함이 있다,결함 있,1
816,결함이나,결함,1
817,결함이나 잘못,결함 잘못,1
818,결함이나 잘못에,결함 잘못,1
819,결핵,결핵,1
820,겸손하게,겸손,0
821,겸손하게 이르는,겸손 이르,0
822,겸손하고,겸손,0
823,겸손하고 예의,겸손 예의,0
824,겸손하고 예의 바른,겸손 예의 바른,0
825,겸손하다,겸손,0
826,겸손한,겸손,0
